#miRNA	read_count	precursor	total	s06	s07	s09	s10	s13	s14	s23	s24	s26	s28	s35	s36	s39	s47	s48	s51	s52	s60	s61	s63	s72	s74	s75	s85	s86	s87	s88	s06(norm)	s07(norm)	s09(norm)	s10(norm)	s13(norm)	s14(norm)	s23(norm)	s24(norm)	s26(norm)	s28(norm)	s35(norm)	s36(norm)	s39(norm)	s47(norm)	s48(norm)	s51(norm)	s52(norm)	s60(norm)	s61(norm)	s63(norm)	s72(norm)	s74(norm)	s75(norm)	s85(norm)	s86(norm)	s87(norm)	s88(norm)
Montipora_capitata_HIv3___Scaffold_6_419669	113.00	Montipora_capitata_HIv3___Scaffold_6_419669	113.00	0	0	11.00	0	13.00	0	13.00	0	0	0	11.00	0	0	0	0	0	13.00	14.00	0	0	12.00	0	0	26.00	0	0	0	0	0	2401.22	0	2014.57	0	729.68	0	0	0	348.13	0	0	0	0	0	715.50	773.14	0	0	1055.97	0	0	2701.86	0	0	0
Montipora_capitata_HIv3___Scaffold_10_645863	113.00	Montipora_capitata_HIv3___Scaffold_6_419669	113.00	0	0	11.00	0	13.00	0	13.00	0	0	0	11.00	0	0	0	0	0	13.00	14.00	0	0	12.00	0	0	26.00	0	0	0	0	0	2401.22	0	2014.57	0	729.68	0	0	0	348.13	0	0	0	0	0	715.50	773.14	0	0	1055.97	0	0	2701.86	0	0	0
Montipora_capitata_HIv3___Scaffold_2_87665	113.00	Montipora_capitata_HIv3___Scaffold_6_419669	113.00	0	0	11.00	0	13.00	0	13.00	0	0	0	11.00	0	0	0	0	0	13.00	14.00	0	0	12.00	0	0	26.00	0	0	0	0	0	2401.22	0	2014.57	0	729.68	0	0	0	348.13	0	0	0	0	0	715.50	773.14	0	0	1055.97	0	0	2701.86	0	0	0
Montipora_capitata_HIv3___Scaffold_6_439094	36.00	Montipora_capitata_HIv3___Scaffold_6_439094	36.00	0	0	1.00	0	4.00	0	1.00	0	0	0	2.00	0	0	0	0	0	4.00	6.00	0	0	7.00	0	0	11.00	0	0	0	0	0	218.29	0	619.87	0	56.13	0	0	0	63.30	0	0	0	0	0	220.16	331.35	0	0	615.98	0	0	1143.09	0	0	0
Montipora_capitata_HIv3___Scaffold_7_456843	295.00	Montipora_capitata_HIv3___Scaffold_7_456843	295.00	0	0	3.00	0	7.00	0	7.00	0	0	0	48.00	0	0	0	0	0	56.00	67.00	0	0	60.00	0	0	47.00	0	0	0	0	0	654.88	0	1084.77	0	392.91	0	0	0	1519.13	0	0	0	0	0	3082.17	3700.02	0	0	5279.83	0	0	4884.13	0	0	0
Montipora_capitata_HIv3___Scaffold_8_488597	3591.00	Montipora_capitata_HIv3___Scaffold_8_488597	3591.00	0	0	27.00	0	27.00	0	53.00	0	0	0	153.00	0	0	0	0	0	416.00	510.00	0	0	1635.00	0	0	770.00	0	0	0	0	0	5893.91	0	4184.10	0	2974.85	0	0	0	4842.23	0	0	0	0	0	22896.14	28164.35	0	0	143875.40	0	0	80016.63	0	0	0
Montipora_capitata_HIv3___Scaffold_8_508612	315.00	Montipora_capitata_HIv3___Scaffold_8_508612	315.00	0	0	3.00	0	3.00	0	4.00	0	0	0	12.00	0	0	0	0	0	56.00	51.00	0	0	95.00	0	0	91.00	0	0	0	0	0	654.88	0	464.90	0	224.52	0	0	0	379.78	0	0	0	0	0	3082.17	2816.43	0	0	8359.73	0	0	9456.51	0	0	0
Montipora_capitata_HIv3___Scaffold_8_508613	36.00	Montipora_capitata_HIv3___Scaffold_8_508613	36.00	0	0	0	0	3.00	0	0	0	0	0	1.00	0	0	0	0	0	10.00	1.00	0	0	12.00	0	0	9.00	0	0	0	0	0	0	0	464.90	0	0	0	0	0	31.65	0	0	0	0	0	550.39	55.22	0	0	1055.97	0	0	935.26	0	0	0
Montipora_capitata_HIv3___Scaffold_8_535535	284.00	Montipora_capitata_HIv3___Scaffold_8_535535	284.00	0	0	13.00	0	38.00	0	33.00	0	0	0	29.00	0	0	0	0	0	67.00	40.00	0	0	28.00	0	0	36.00	0	0	0	0	0	2837.81	0	5888.73	0	1852.27	0	0	0	917.81	0	0	0	0	0	3687.60	2208.97	0	0	2463.92	0	0	3741.04	0	0	0
Montipora_capitata_HIv3___Scaffold_8_542727	194.00	Montipora_capitata_HIv3___Scaffold_8_542727	194.00	0	0	1.00	0	8.00	0	6.00	0	0	0	29.00	0	0	0	0	0	39.00	35.00	0	0	51.00	0	0	25.00	0	0	0	0	0	218.29	0	1239.73	0	336.78	0	0	0	917.81	0	0	0	0	0	2146.51	1932.85	0	0	4487.86	0	0	2597.94	0	0	0
Montipora_capitata_HIv3___Scaffold_8_553085	983.00	Montipora_capitata_HIv3___Scaffold_8_553085	983.00	0	0	5.00	0	10.00	0	222.00	0	0	0	197.00	0	0	0	0	0	171.00	186.00	0	0	95.00	0	0	84.00	0	13.00	0	0	0	1091.46	0	1549.67	0	12460.71	0	0	0	6234.77	0	0	0	0	0	9411.64	10271.70	0	0	8359.73	0	0	8729.09	0	2803.54	0
Montipora_capitata_HIv3___Scaffold_8_565039	708.00	Montipora_capitata_HIv3___Scaffold_8_565039	708.00	0	0	2.00	0	4.00	0	5.00	0	0	0	100.00	0	0	0	0	0	139.00	177.00	0	0	187.00	0	0	94.00	0	0	0	0	0	436.59	0	619.87	0	280.65	0	0	0	3164.86	0	0	0	0	0	7650.39	9774.69	0	0	16455.47	0	0	9768.26	0	0	0
Montipora_capitata_HIv3___Scaffold_8_578139	751.00	Montipora_capitata_HIv3___Scaffold_8_578139	751.00	0	0	1.00	0	1.00	0	20.00	0	0	0	27.00	0	0	0	0	0	192.00	121.00	0	0	150.00	0	192.00	47.00	0	0	0	0	0	218.29	0	154.97	0	1122.59	0	0	0	854.51	0	0	0	0	0	10567.45	6682.13	0	0	13199.58	0	979591.84	4884.13	0	0	0
Montipora_capitata_HIv3___Scaffold_8_585867	2649.00	Montipora_capitata_HIv3___Scaffold_8_585867	2649.00	0	0	27.00	0	26.00	2.00	44.00	0	0	0	60.00	0	0	0	0	0	33.00	77.00	1.00	2109.00	25.00	0	0	22.00	0	223.00	0	0	0	5893.91	0	4029.13	6006.01	2469.69	0	0	0	1898.91	0	0	0	0	0	1816.28	4252.26	40000.00	62051.31	2199.93	0	0	2286.19	0	48091.44	0
Montipora_capitata_HIv3___Scaffold_8_585867	4298.00	Montipora_capitata_HIv3___Scaffold_8_585867	4298.00	0	0	50.00	0	59.00	3.00	79.00	0	0	0	121.00	0	0	0	0	0	67.00	156.00	2.00	3175.00	61.00	0	0	46.00	0	479.00	0	0	0	10914.65	0	9143.03	9009.01	4434.22	0	0	0	3829.48	0	0	0	0	0	3687.60	8614.98	80000.00	93415.32	5367.83	0	0	4780.21	0	103299.55	0
Montipora_capitata_HIv3___Scaffold_8_585867	5702.00	Montipora_capitata_HIv3___Scaffold_8_585867	5702.00	0	0	62.00	0	71.00	74.00	102.00	0	0	0	151.00	0	0	0	0	0	82.00	190.00	3.00	4231.00	73.00	0	0	54.00	0	609.00	0	0	0	13534.16	0	11002.63	222222.22	5725.19	0	0	0	4778.93	0	0	0	0	0	4513.18	10492.60	120000.00	124485.11	6423.79	0	0	5611.56	0	131334.91	0
Montipora_capitata_HIv3___Scaffold_8_585867	5630.00	Montipora_capitata_HIv3___Scaffold_8_585867	5630.00	0	0	55.00	0	62.00	77.00	92.00	0	0	0	136.00	0	0	0	0	0	75.00	167.00	3.00	4225.00	63.00	0	0	48.00	0	627.00	0	0	0	12006.11	0	9607.93	231231.23	5163.90	0	0	0	4304.21	0	0	0	0	0	4127.91	9222.44	120000.00	124308.58	5543.82	0	0	4988.05	0	135216.73	0
Montipora_capitata_HIv3___Scaffold_8_585867	4106.00	Montipora_capitata_HIv3___Scaffold_8_585867	4106.00	0	0	41.00	0	44.00	6.00	68.00	0	0	0	98.00	0	0	0	0	0	54.00	122.00	2.00	3167.00	44.00	0	0	35.00	0	425.00	0	0	0	8950.01	0	6818.53	18018.02	3816.79	0	0	0	3101.56	0	0	0	0	0	2972.10	6737.35	80000.00	93179.95	3871.88	0	0	3637.12	0	91654.09	0
Montipora_capitata_HIv3___Scaffold_13_954675	2508.00	Montipora_capitata_HIv3___Scaffold_8_585867	2508.00	0	0	14.00	0	18.00	0	27.00	0	0	0	43.00	0	0	0	0	0	20.00	45.00	0	2109.00	15.00	0	0	16.00	0	201.00	0	0	0	3056.10	0	2789.40	0	1515.49	0	0	0	1360.89	0	0	0	0	0	1100.78	2485.09	0	62051.31	1319.96	0	0	1662.68	0	43346.99	0
Montipora_capitata_HIv3___Scaffold_13_954675	4204.00	Montipora_capitata_HIv3___Scaffold_8_585867	4204.00	0	0	48.00	0	56.00	3.00	78.00	0	0	0	118.00	0	0	0	0	0	64.00	149.00	2.00	3175.00	57.00	0	0	44.00	0	410.00	0	0	0	10478.06	0	8678.13	9009.01	4378.09	0	0	0	3734.53	0	0	0	0	0	3522.48	8228.41	80000.00	93415.32	5015.84	0	0	4572.38	0	88419.24	0
Montipora_capitata_HIv3___Scaffold_13_954675	5595.00	Montipora_capitata_HIv3___Scaffold_8_585867	5595.00	0	0	50.00	0	64.00	74.00	87.00	0	0	0	136.00	0	0	0	0	0	70.00	159.00	3.00	4231.00	63.00	0	0	49.00	0	609.00	0	0	0	10914.65	0	9917.87	222222.22	4883.25	0	0	0	4304.21	0	0	0	0	0	3852.72	8780.65	120000.00	124485.11	5543.82	0	0	5091.97	0	131334.91	0
Montipora_capitata_HIv3___Scaffold_13_954675	5485.00	Montipora_capitata_HIv3___Scaffold_8_585867	5485.00	0	0	42.00	0	54.00	72.00	75.00	0	0	0	119.00	0	0	0	0	0	61.00	135.00	2.00	4225.00	53.00	0	0	42.00	0	605.00	0	0	0	9168.30	0	8368.20	216216.22	4209.70	0	0	0	3766.18	0	0	0	0	0	3357.37	7455.27	80000.00	124308.58	4663.85	0	0	4364.54	0	130472.29	0
Montipora_capitata_HIv3___Scaffold_13_954675	3962.00	Montipora_capitata_HIv3___Scaffold_8_585867	3962.00	0	0	28.00	0	36.00	2.00	51.00	0	0	0	81.00	0	0	0	0	0	40.00	90.00	1.00	3167.00	34.00	0	0	29.00	0	403.00	0	0	0	6112.20	0	5578.80	6006.01	2862.60	0	0	0	2563.53	0	0	0	0	0	2201.55	4970.18	40000.00	93179.95	2991.90	0	0	3013.61	0	86909.64	0
Montipora_capitata_HIv3___Scaffold_8_586427	102.00	Montipora_capitata_HIv3___Scaffold_8_586427	102.00	0	0	0	0	5.00	0	1.00	0	0	0	2.00	0	0	0	0	0	4.00	0	0	0	11.00	0	0	79.00	0	0	0	0	0	0	0	774.83	0	56.13	0	0	0	63.30	0	0	0	0	0	220.16	0	0	0	967.97	0	0	8209.50	0	0	0
Montipora_capitata_HIv3___Scaffold_9_587940	6168.00	Montipora_capitata_HIv3___Scaffold_9_587940	6168.00	0	0	285.00	0	409.00	0	838.00	0	0	0	1119.00	0	0	0	0	0	593.00	1293.00	2.00	0	743.00	0	0	886.00	0	0	0	0	0	62213.49	0	63381.37	0	47036.37	0	0	0	35414.75	0	0	0	0	0	32638.01	71404.90	80000.00	0	65381.91	0	0	92071.08	0	0	0
Montipora_capitata_HIv3___Scaffold_10_631026	6168.00	Montipora_capitata_HIv3___Scaffold_9_587940	6168.00	0	0	285.00	0	409.00	0	838.00	0	0	0	1119.00	0	0	0	0	0	593.00	1293.00	2.00	0	743.00	0	0	886.00	0	0	0	0	0	62213.49	0	63381.37	0	47036.37	0	0	0	35414.75	0	0	0	0	0	32638.01	71404.90	80000.00	0	65381.91	0	0	92071.08	0	0	0
Montipora_capitata_HIv3___Scaffold_9_606053	63.00	Montipora_capitata_HIv3___Scaffold_9_606053	63.00	0	0	0	0	1.00	0	5.00	0	0	0	1.00	0	0	0	0	0	28.00	11.00	0	0	13.00	0	0	4.00	0	0	0	0	0	0	0	154.97	0	280.65	0	0	0	31.65	0	0	0	0	0	1541.09	607.47	0	0	1143.96	0	0	415.67	0	0	0
Montipora_capitata_HIv3___Scaffold_9_613239	13903.00	Montipora_capitata_HIv3___Scaffold_9_613239	13903.00	0	0	1421.00	0	1630.00	0	2929.00	2.00	0	3.00	2474.00	0	0	0	0	0	2320.00	1817.00	0	0	831.00	0	0	476.00	0	0	0	0	0	310194.28	0	252595.69	0	164402.78	666666.67	0	1000000.00	78298.57	0	0	0	0	0	127690.02	100342.39	0	0	73125.66	0	0	49464.82	0	0	0
Montipora_capitata_HIv3___Scaffold_9_617967	166.00	Montipora_capitata_HIv3___Scaffold_9_617967	166.00	0	0	3.00	0	4.00	0	3.00	0	0	0	19.00	0	0	0	0	0	26.00	23.00	0	0	38.00	0	0	50.00	0	0	0	0	0	654.88	0	619.87	0	168.39	0	0	0	601.32	0	0	0	0	0	1431.01	1270.16	0	0	3343.89	0	0	5195.88	0	0	0
Montipora_capitata_HIv3___Scaffold_9_625013	2860.00	Montipora_capitata_HIv3___Scaffold_9_625013	2860.00	0	0	241.00	0	217.00	0	529.00	0	0	0	579.00	0	0	0	0	0	493.00	449.00	0	0	264.00	0	0	88.00	0	0	0	0	0	52608.60	0	33627.77	0	29692.41	0	0	0	18324.52	0	0	0	0	0	27134.13	24795.67	0	0	23231.26	0	0	9144.76	0	0	0
