"length","gene_id"
674,"Montipora_capitata_HIv3___TS.g29736.t1"
371,"Montipora_capitata_HIv3___RNAseq.g37224.t1"
485,"Montipora_capitata_HIv3___RNAseq.g37225.t1"
1049,"Montipora_capitata_HIv3___TS.g29738.t1"
21867,"Montipora_capitata_HIv3___RNAseq.g37226.t1"
410,"Montipora_capitata_HIv3___RNAseq.g37227.t1"
16669,"Montipora_capitata_HIv3___RNAseq.g37228.t1"
31289,"Montipora_capitata_HIv3___RNAseq.g37229.t1"
10197,"Montipora_capitata_HIv3___RNAseq.g37230.t1"
260,"Montipora_capitata_HIv3___RNAseq.g37231.t1"
5946,"Montipora_capitata_HIv3___TS.g29744.t1"
293,"Montipora_capitata_HIv3___TS.g29745.t1"
2234,"Montipora_capitata_HIv3___RNAseq.g37233.t1"
6237,"Montipora_capitata_HIv3___RNAseq.g37234.t1"
45752,"Montipora_capitata_HIv3___RNAseq.g37235.t1"
6376,"Montipora_capitata_HIv3___TS.g29748.t1"
242,"Montipora_capitata_HIv3___TS.g29749.t1"
2794,"Montipora_capitata_HIv3___TS.g29750.t1"
713,"Montipora_capitata_HIv3___RNAseq.g37236.t1"
281,"Montipora_capitata_HIv3___RNAseq.g37237.t1"
560,"Montipora_capitata_HIv3___RNAseq.g37238.t1"
3459,"Montipora_capitata_HIv3___RNAseq.g37239.t1"
5580,"Montipora_capitata_HIv3___RNAseq.g37240.t1"
3251,"Montipora_capitata_HIv3___RNAseq.g37241.t1"
6953,"Montipora_capitata_HIv3___RNAseq.g37242.t2"
19784,"Montipora_capitata_HIv3___RNAseq.g37243.t1"
6493,"Montipora_capitata_HIv3___RNAseq.g37244.t1"
26002,"Montipora_capitata_HIv3___TS.g29760.t1"
2795,"Montipora_capitata_HIv3___RNAseq.g37246.t1"
341,"Montipora_capitata_HIv3___RNAseq.g37247.t1"
6317,"Montipora_capitata_HIv3___RNAseq.g37248.t1"
752,"Montipora_capitata_HIv3___RNAseq.g37249.t1"
983,"Montipora_capitata_HIv3___RNAseq.g37250.t1"
15247,"Montipora_capitata_HIv3___RNAseq.g37251.t1"
7421,"Montipora_capitata_HIv3___RNAseq.g37252.t1"
11757,"Montipora_capitata_HIv3___TS.g29768.t1"
3943,"Montipora_capitata_HIv3___RNAseq.g37254.t1"
1508,"Montipora_capitata_HIv3___TS.g29770.t1"
14789,"Montipora_capitata_HIv3___TS.g29771.t2"
6921,"Montipora_capitata_HIv3___RNAseq.g37256.t1"
11312,"Montipora_capitata_HIv3___RNAseq.g37257.t1"
11760,"Montipora_capitata_HIv3___RNAseq.g37258.t1"
680,"Montipora_capitata_HIv3___RNAseq.g37259.t1"
12039,"Montipora_capitata_HIv3___TS.g29776.t1"
4003,"Montipora_capitata_HIv3___TS.g29777.t1"
19148,"Montipora_capitata_HIv3___RNAseq.g37261.t1"
15973,"Montipora_capitata_HIv3___RNAseq.g37262.t1"
7551,"Montipora_capitata_HIv3___TS.g29778.t1"
16532,"Montipora_capitata_HIv3___RNAseq.g37264.t1b"
30713,"Montipora_capitata_HIv3___RNAseq.g37264.t1a"
4116,"Montipora_capitata_HIv3___RNAseq.g37265.t1"
18122,"Montipora_capitata_HIv3___RNAseq.g37266.t1"
938,"Montipora_capitata_HIv3___RNAseq.g37267.t1"
683,"Montipora_capitata_HIv3___RNAseq.g37268.t1a"
1034,"Montipora_capitata_HIv3___RNAseq.g37268.t1b"
6460,"Montipora_capitata_HIv3___RNAseq.g37269.t1"
13896,"Montipora_capitata_HIv3___RNAseq.g37270.t1"
401,"Montipora_capitata_HIv3___RNAseq.g37271.t1"
21222,"Montipora_capitata_HIv3___RNAseq.g37272.t1"
500,"Montipora_capitata_HIv3___RNAseq.g37273.t1"
23149,"Montipora_capitata_HIv3___RNAseq.g37274.t1"
23924,"Montipora_capitata_HIv3___TS.g29791.t1"
398,"Montipora_capitata_HIv3___RNAseq.g37276.t1"
14299,"Montipora_capitata_HIv3___RNAseq.g37277.t1"
734,"Montipora_capitata_HIv3___RNAseq.g37278.t1"
4963,"Montipora_capitata_HIv3___RNAseq.g37279.t1"
32051,"Montipora_capitata_HIv3___TS.g29796.t2"
887,"Montipora_capitata_HIv3___RNAseq.g37281.t1"
407,"Montipora_capitata_HIv3___RNAseq.g37282.t1"
599,"Montipora_capitata_HIv3___TS.g29799.t1"
449,"Montipora_capitata_HIv3___RNAseq.g37283.t1"
890,"Montipora_capitata_HIv3___RNAseq.g37284.t1"
866,"Montipora_capitata_HIv3___RNAseq.g37285.t1"
866,"Montipora_capitata_HIv3___RNAseq.g37286.t1"
470,"Montipora_capitata_HIv3___RNAseq.g37287.t1"
887,"Montipora_capitata_HIv3___RNAseq.g37288.t1"
2970,"Montipora_capitata_HIv3___RNAseq.g37289.t1"
404,"Montipora_capitata_HIv3___RNAseq.g37290.t1"
416,"Montipora_capitata_HIv3___RNAseq.g37291.t1"
887,"Montipora_capitata_HIv3___RNAseq.g37292.t1"
866,"Montipora_capitata_HIv3___RNAseq.g37293.t1"
491,"Montipora_capitata_HIv3___RNAseq.g37294.t1"
329,"Montipora_capitata_HIv3___RNAseq.g37295.t1"
1148,"Montipora_capitata_HIv3___RNAseq.g37296.t1a"
983,"Montipora_capitata_HIv3___RNAseq.g37296.t1b"
8870,"Montipora_capitata_HIv3___RNAseq.g37297.t1"
15273,"Montipora_capitata_HIv3___RNAseq.g37298.t1"
26667,"Montipora_capitata_HIv3___TS.g29815.t1"
4551,"Montipora_capitata_HIv3___RNAseq.g37300.t1"
13849,"Montipora_capitata_HIv3___RNAseq.g37301.t1"
7169,"Montipora_capitata_HIv3___RNAseq.g37302.t1"
28147,"Montipora_capitata_HIv3___RNAseq.g37303.t2"
6189,"Montipora_capitata_HIv3___RNAseq.g37304.t1"
1564,"Montipora_capitata_HIv3___RNAseq.g37305.t1"
6932,"Montipora_capitata_HIv3___RNAseq.g37306.t1"
2670,"Montipora_capitata_HIv3___TS.g29824.t1"
10728,"Montipora_capitata_HIv3___RNAseq.g37308.t1"
386,"Montipora_capitata_HIv3___RNAseq.g37309.t1"
40998,"Montipora_capitata_HIv3___RNAseq.g37310.t1"
2527,"Montipora_capitata_HIv3___TS.g29829.t1"
1208,"Montipora_capitata_HIv3___RNAseq.g37311.t1"
4514,"Montipora_capitata_HIv3___RNAseq.g37312.t1"
1028,"Montipora_capitata_HIv3___RNAseq.g37313.t1"
995,"Montipora_capitata_HIv3___RNAseq.g37314.t1"
995,"Montipora_capitata_HIv3___RNAseq.g37315.t1"
980,"Montipora_capitata_HIv3___RNAseq.g37316.t1"
1092,"Montipora_capitata_HIv3___RNAseq.g37317.t1"
1181,"Montipora_capitata_HIv3___RNAseq.g37318.t1"
16978,"Montipora_capitata_HIv3___RNAseq.g37319.t1"
24546,"Montipora_capitata_HIv3___RNAseq.g37320.t1"
30928,"Montipora_capitata_HIv3___TS.g29840.t1"
1987,"Montipora_capitata_HIv3___TS.g29841.t1"
8146,"Montipora_capitata_HIv3___RNAseq.g37322.t1"
12332,"Montipora_capitata_HIv3___TS.g29843.t1"
864,"Montipora_capitata_HIv3___RNAseq.g37324.t1"
15438,"Montipora_capitata_HIv3___RNAseq.g37325.t1"
9034,"Montipora_capitata_HIv3___RNAseq.g37326.t1"
2429,"Montipora_capitata_HIv3___RNAseq.g37327.t1"
15356,"Montipora_capitata_HIv3___RNAseq.g37328.t1"
17684,"Montipora_capitata_HIv3___RNAseq.g37329.t1"
5676,"Montipora_capitata_HIv3___RNAseq.g37330.t1"
5335,"Montipora_capitata_HIv3___RNAseq.g37331.t1"
9880,"Montipora_capitata_HIv3___RNAseq.g37332.t1"
34141,"Montipora_capitata_HIv3___TS.g29852.t2"
35680,"Montipora_capitata_HIv3___RNAseq.g37334.t2"
200,"Montipora_capitata_HIv3___TS.g29853.t1"
484,"Montipora_capitata_HIv3___RNAseq.g37335.t1"
4679,"Montipora_capitata_HIv3___RNAseq.g37336.t1"
4138,"Montipora_capitata_HIv3___RNAseq.g37337.t1"
27099,"Montipora_capitata_HIv3___RNAseq.g37338.t1"
950,"Montipora_capitata_HIv3___RNAseq.g37339.t1"
13981,"Montipora_capitata_HIv3___TS.g29858.t1"
773,"Montipora_capitata_HIv3___RNAseq.g37341.t1"
6412,"Montipora_capitata_HIv3___RNAseq.g37342.t1"
6277,"Montipora_capitata_HIv3___RNAseq.g37343.t1"
13811,"Montipora_capitata_HIv3___TS.g29862.t1"
529,"Montipora_capitata_HIv3___TS.g29863.t1"
12320,"Montipora_capitata_HIv3___RNAseq.g37345.t1"
6387,"Montipora_capitata_HIv3___TS.g29865.t1"
76521,"Montipora_capitata_HIv3___TS.g29866.t1"
332,"Montipora_capitata_HIv3___RNAseq.g37349.t1"
8459,"Montipora_capitata_HIv3___RNAseq.g37351.t1"
19714,"Montipora_capitata_HIv3___RNAseq.g37352.t1"
5001,"Montipora_capitata_HIv3___TS.g29870.t1"
1285,"Montipora_capitata_HIv3___RNAseq.g37354.t1"
1733,"Montipora_capitata_HIv3___RNAseq.g37355.t1"
21786,"Montipora_capitata_HIv3___TS.g29873.t1"
3609,"Montipora_capitata_HIv3___RNAseq.g37357.t1"
2186,"Montipora_capitata_HIv3___RNAseq.g37358.t1"
67174,"Montipora_capitata_HIv3___RNAseq.g37359.t1"
491,"Montipora_capitata_HIv3___RNAseq.g37360.t1"
34559,"Montipora_capitata_HIv3___TS.g29877.t1"
11075,"Montipora_capitata_HIv3___TS.g29878.t2"
2230,"Montipora_capitata_HIv3___RNAseq.g37363.t1"
18926,"Montipora_capitata_HIv3___TS.g29880.t1"
2561,"Montipora_capitata_HIv3___RNAseq.g37366.t1"
6729,"Montipora_capitata_HIv3___TS.g29882.t2a"
4632,"Montipora_capitata_HIv3___TS.g29882.t2b"
290,"Montipora_capitata_HIv3___RNAseq.g37368.t1"
350,"Montipora_capitata_HIv3___RNAseq.g37369.t1"
21988,"Montipora_capitata_HIv3___TS.g29885.t1"
9554,"Montipora_capitata_HIv3___RNAseq.g37372.t1"
19501,"Montipora_capitata_HIv3___RNAseq.g37373.t1"
17737,"Montipora_capitata_HIv3___TS.g29888.t1"
24735,"Montipora_capitata_HIv3___RNAseq.g37375.t1"
386,"Montipora_capitata_HIv3___TS.g29890.t1"
39758,"Montipora_capitata_HIv3___TS.g29891.t2"
455,"Montipora_capitata_HIv3___RNAseq.g37377.t1"
1825,"Montipora_capitata_HIv3___RNAseq.g37378.t1"
26610,"Montipora_capitata_HIv3___TS.g29894.t1"
13423,"Montipora_capitata_HIv3___TS.g29895.t1"
1880,"Montipora_capitata_HIv3___RNAseq.g37381.t1"
1476,"Montipora_capitata_HIv3___RNAseq.g37382.t1"
43189,"Montipora_capitata_HIv3___TS.g29898.t1"
15253,"Montipora_capitata_HIv3___RNAseq.g37385.t1"
19322,"Montipora_capitata_HIv3___RNAseq.g37386.t3"
10155,"Montipora_capitata_HIv3___RNAseq.g37387.t1b"
6733,"Montipora_capitata_HIv3___RNAseq.g37387.t1a"
14863,"Montipora_capitata_HIv3___RNAseq.g37388.t1c"
4753,"Montipora_capitata_HIv3___RNAseq.g37388.t1b"
2751,"Montipora_capitata_HIv3___RNAseq.g37388.t1a"
7096,"Montipora_capitata_HIv3___RNAseq.g37389.t1"
2365,"Montipora_capitata_HIv3___RNAseq.g37390.t1"
2057,"Montipora_capitata_HIv3___RNAseq.g37391.t1"
278,"Montipora_capitata_HIv3___TS.g29906.t1"
680,"Montipora_capitata_HIv3___RNAseq.g37392.t1"
1114,"Montipora_capitata_HIv3___RNAseq.g37393.t1"
9536,"Montipora_capitata_HIv3___RNAseq.g37394.t1"
14961,"Montipora_capitata_HIv3___TS.g29909.t1"
31008,"Montipora_capitata_HIv3___RNAseq.g37396.t1"
5489,"Montipora_capitata_HIv3___TS.g29911.t1"
20969,"Montipora_capitata_HIv3___RNAseq.g37398.t1"
458,"Montipora_capitata_HIv3___RNAseq.g37399.t1"
661,"Montipora_capitata_HIv3___TS.g29914.t1"
1720,"Montipora_capitata_HIv3___RNAseq.g37400.t1"
302,"Montipora_capitata_HIv3___RNAseq.g37401.t1"
22578,"Montipora_capitata_HIv3___TS.g29915.t1"
1013,"Montipora_capitata_HIv3___RNAseq.g37403.t1"
5436,"Montipora_capitata_HIv3___RNAseq.g37404.t1"
1194,"Montipora_capitata_HIv3___RNAseq.g37405.t1"
7378,"Montipora_capitata_HIv3___TS.g29919.t1"
5088,"Montipora_capitata_HIv3___TS.g29920.t1"
425,"Montipora_capitata_HIv3___RNAseq.g37408.t1"
8596,"Montipora_capitata_HIv3___RNAseq.g37409.t1"
341,"Montipora_capitata_HIv3___RNAseq.g37410.t1"
1553,"Montipora_capitata_HIv3___RNAseq.g37411.t1"
7372,"Montipora_capitata_HIv3___RNAseq.39395_t"
5647,"Montipora_capitata_HIv3___TS.g29926.t1"
14067,"Montipora_capitata_HIv3___RNAseq.g37414.t1"
6581,"Montipora_capitata_HIv3___RNAseq.g37415.t1"
14666,"Montipora_capitata_HIv3___RNAseq.g37416.t1"
7155,"Montipora_capitata_HIv3___RNAseq.g37417.t1"
23432,"Montipora_capitata_HIv3___RNAseq.g37418.t1"
2557,"Montipora_capitata_HIv3___RNAseq.g37419.t1"
1460,"Montipora_capitata_HIv3___RNAseq.g37420.t1"
2077,"Montipora_capitata_HIv3___RNAseq.g37421.t1"
2990,"Montipora_capitata_HIv3___TS.g29934.t1"
21678,"Montipora_capitata_HIv3___RNAseq.g37423.t1"
5397,"Montipora_capitata_HIv3___RNAseq.g37424.t1"
21257,"Montipora_capitata_HIv3___RNAseq.g37425.t1"
1843,"Montipora_capitata_HIv3___RNAseq.g37426.t1a"
200,"Montipora_capitata_HIv3___RNAseq.g37426.t1b"
1559,"Montipora_capitata_HIv3___RNAseq.g37426.t1c"
5487,"Montipora_capitata_HIv3___RNAseq.g37427.t1"
6969,"Montipora_capitata_HIv3___RNAseq.g37428.t1"
12892,"Montipora_capitata_HIv3___RNAseq.g37429.t1"
4095,"Montipora_capitata_HIv3___RNAseq.g37430.t1"
290,"Montipora_capitata_HIv3___RNAseq.g37431.t1"
24337,"Montipora_capitata_HIv3___RNAseq.g37432.t1"
4429,"Montipora_capitata_HIv3___RNAseq.g37433.t1"
75329,"Montipora_capitata_HIv3___RNAseq.g37434.t1"
800,"Montipora_capitata_HIv3___RNAseq.g37435.t1"
24557,"Montipora_capitata_HIv3___RNAseq.g37436.t1"
632,"Montipora_capitata_HIv3___TS.g29945.t1"
9885,"Montipora_capitata_HIv3___RNAseq.g37437.t1"
6805,"Montipora_capitata_HIv3___RNAseq.g37438.t1"
42627,"Montipora_capitata_HIv3___RNAseq.g37439.t1"
6379,"Montipora_capitata_HIv3___RNAseq.g37440.t1"
16033,"Montipora_capitata_HIv3___RNAseq.g37441.t1"
5110,"Montipora_capitata_HIv3___RNAseq.g37442.t1"
50983,"Montipora_capitata_HIv3___RNAseq.g37443.t1"
19064,"Montipora_capitata_HIv3___TS.g29955.t2"
11551,"Montipora_capitata_HIv3___RNAseq.g37445.t1"
7541,"Montipora_capitata_HIv3___RNAseq.g37446.t1"
5477,"Montipora_capitata_HIv3___RNAseq.g37447.t1"
18366,"Montipora_capitata_HIv3___RNAseq.g37448.t1"
11803,"Montipora_capitata_HIv3___RNAseq.g37449.t1"
12230,"Montipora_capitata_HIv3___RNAseq.g37450.t2"
614,"Montipora_capitata_HIv3___RNAseq.g37451.t1"
863,"Montipora_capitata_HIv3___RNAseq.g37452.t1"
9909,"Montipora_capitata_HIv3___RNAseq.g37453.t1"
14950,"Montipora_capitata_HIv3___TS.g29965.t1"
12296,"Montipora_capitata_HIv3___RNAseq.g37455.t1"
7189,"Montipora_capitata_HIv3___RNAseq.g37456.t1"
1272,"Montipora_capitata_HIv3___TS.g29968.t1"
46143,"Montipora_capitata_HIv3___RNAseq.g37458.t1"
16179,"Montipora_capitata_HIv3___RNAseq.g37459.t1"
788,"Montipora_capitata_HIv3___RNAseq.g37460.t1"
4583,"Montipora_capitata_HIv3___TS.g29972.t1a"
1127,"Montipora_capitata_HIv3___TS.g29972.t1b"
1352,"Montipora_capitata_HIv3___TS.g29973.t1"
12719,"Montipora_capitata_HIv3___TS.g29974.t3"
3188,"Montipora_capitata_HIv3___RNAseq.g37464.t2"
3062,"Montipora_capitata_HIv3___TS.g29976.t1"
1967,"Montipora_capitata_HIv3___RNAseq.g37465.t1"
2425,"Montipora_capitata_HIv3___RNAseq.g37466.t1"
15888,"Montipora_capitata_HIv3___RNAseq.g37467.t1"
605,"Montipora_capitata_HIv3___RNAseq.g37468.t1"
18456,"Montipora_capitata_HIv3___RNAseq.g37469.t1"
29130,"Montipora_capitata_HIv3___TS.g29982.t1"
14324,"Montipora_capitata_HIv3___RNAseq.g37472.t1"
24593,"Montipora_capitata_HIv3___RNAseq.g37473.t1"
3043,"Montipora_capitata_HIv3___RNAseq.g37474.t1"
5552,"Montipora_capitata_HIv3___RNAseq.g37475.t1"
3344,"Montipora_capitata_HIv3___TS.g29986.t1"
6409,"Montipora_capitata_HIv3___RNAseq.g37476.t1"
18297,"Montipora_capitata_HIv3___RNAseq.g37477.t1"
14975,"Montipora_capitata_HIv3___RNAseq.g37478.t1"
21414,"Montipora_capitata_HIv3___TS.g29990.t1"
6244,"Montipora_capitata_HIv3___TS.g29991.t1"
1250,"Montipora_capitata_HIv3___RNAseq.g37481.t1"
959,"Montipora_capitata_HIv3___RNAseq.g37482.t1"
2184,"Montipora_capitata_HIv3___RNAseq.g37483.t1"
611,"Montipora_capitata_HIv3___RNAseq.g37484.t1"
1154,"Montipora_capitata_HIv3___RNAseq.g37485.t1"
8314,"Montipora_capitata_HIv3___RNAseq.g37486.t1"
20499,"Montipora_capitata_HIv3___RNAseq.g37487.t1"
117521,"Montipora_capitata_HIv3___RNAseq.g37488.t1"
278,"Montipora_capitata_HIv3___TS.g30000.t1"
2028,"Montipora_capitata_HIv3___TS.g30001.t1"
3303,"Montipora_capitata_HIv3___TS.g30002.t1"
845,"Montipora_capitata_HIv3___TS.g30003.t1"
281,"Montipora_capitata_HIv3___TS.g30005.t1"
1466,"Montipora_capitata_HIv3___RNAseq.g37489.t1"
7761,"Montipora_capitata_HIv3___RNAseq.g37490.t1"
329,"Montipora_capitata_HIv3___RNAseq.g37491.t1"
3861,"Montipora_capitata_HIv3___TS.g30009.t1"
3278,"Montipora_capitata_HIv3___RNAseq.39494_t"
24148,"Montipora_capitata_HIv3___RNAseq.g37495.t2"
15080,"Montipora_capitata_HIv3___TS.g30012.t1"
4682,"Montipora_capitata_HIv3___RNAseq.g37498.t1"
10166,"Montipora_capitata_HIv3___TS.g30013.t1"
1127,"Montipora_capitata_HIv3___RNAseq.g37500.t1"
5862,"Montipora_capitata_HIv3___RNAseq.g37501.t1"
2445,"Montipora_capitata_HIv3___TS.g30017.t1"
3983,"Montipora_capitata_HIv3___RNAseq.g37502.t1"
1288,"Montipora_capitata_HIv3___RNAseq.g37503.t2"
19934,"Montipora_capitata_HIv3___TS.g30020.t1"
224,"Montipora_capitata_HIv3___TS.g30021.t1"
18689,"Montipora_capitata_HIv3___RNAseq.g37505.t1"
79790,"Montipora_capitata_HIv3___RNAseq.g37506.t1"
3122,"Montipora_capitata_HIv3___TS.g30024.t1b"
11177,"Montipora_capitata_HIv3___TS.g30024.t1a"
21597,"Montipora_capitata_HIv3___RNAseq.g37508.t1"
3978,"Montipora_capitata_HIv3___RNAseq.g37509.t1"
2306,"Montipora_capitata_HIv3___RNAseq.g37510.t1"
7248,"Montipora_capitata_HIv3___RNAseq.g37511.t1"
31666,"Montipora_capitata_HIv3___TS.g30029.t1"
278,"Montipora_capitata_HIv3___RNAseq.g37512.t1"
3098,"Montipora_capitata_HIv3___RNAseq.g37514.t1"
1064,"Montipora_capitata_HIv3___TS.g30031.t1"
407,"Montipora_capitata_HIv3___RNAseq.g37516.t1"
1079,"Montipora_capitata_HIv3___RNAseq.g37517.t1"
362,"Montipora_capitata_HIv3___TS.g30034.t1"
2571,"Montipora_capitata_HIv3___TS.g30035.t1"
356,"Montipora_capitata_HIv3___RNAseq.g37519.t1"
356,"Montipora_capitata_HIv3___RNAseq.g37521.t1"
11211,"Montipora_capitata_HIv3___RNAseq.g37522.t1"
31322,"Montipora_capitata_HIv3___RNAseq.g37523.t1"
37091,"Montipora_capitata_HIv3___RNAseq.g37524.t1"
305,"Montipora_capitata_HIv3___RNAseq.g37525.t1"
6561,"Montipora_capitata_HIv3___RNAseq.g37526.t1"
13192,"Montipora_capitata_HIv3___RNAseq.g37527.t1"
1968,"Montipora_capitata_HIv3___RNAseq.39533_t"
5896,"Montipora_capitata_HIv3___RNAseq.g37529.t1"
2580,"Montipora_capitata_HIv3___RNAseq.g37530.t1"
14661,"Montipora_capitata_HIv3___TS.g30047.t1"
6042,"Montipora_capitata_HIv3___RNAseq.g37532.t1"
7262,"Montipora_capitata_HIv3___RNAseq.39538_t"
1569,"Montipora_capitata_HIv3___RNAseq.g37533.t1"
419,"Montipora_capitata_HIv3___TS.g30050.t1"
6017,"Montipora_capitata_HIv3___TS.g30051.t1"
11948,"Montipora_capitata_HIv3___TS.g30052.t1"
1405,"Montipora_capitata_HIv3___TS.g30053.t1"
9461,"Montipora_capitata_HIv3___RNAseq.g37538.t1"
7971,"Montipora_capitata_HIv3___TS.g30054.t1"
1802,"Montipora_capitata_HIv3___RNAseq.g37541.t1"
3541,"Montipora_capitata_HIv3___TS.g30055.t1"
4834,"Montipora_capitata_HIv3___RNAseq.g37542.t1"
5243,"Montipora_capitata_HIv3___RNAseq.g37543.t1"
4549,"Montipora_capitata_HIv3___RNAseq.g37544.t1"
6782,"Montipora_capitata_HIv3___RNAseq.g37545.t1"
407,"Montipora_capitata_HIv3___RNAseq.g37546.t1"
311,"Montipora_capitata_HIv3___RNAseq.g37547.t1"
4912,"Montipora_capitata_HIv3___RNAseq.g37548.t1"
1593,"Montipora_capitata_HIv3___RNAseq.g37549.t1"
6866,"Montipora_capitata_HIv3___RNAseq.g37550.t1"
5191,"Montipora_capitata_HIv3___RNAseq.g37551.t1"
25185,"Montipora_capitata_HIv3___TS.g30066.t2"
2521,"Montipora_capitata_HIv3___TS.g30067.t1"
22379,"Montipora_capitata_HIv3___RNAseq.g37554.t1"
815,"Montipora_capitata_HIv3___RNAseq.g37555.t1"
875,"Montipora_capitata_HIv3___RNAseq.g37556.t1"
1750,"Montipora_capitata_HIv3___RNAseq.g37557.t1"
4276,"Montipora_capitata_HIv3___RNAseq.g37558.t1"
1213,"Montipora_capitata_HIv3___RNAseq.g37559.t1"
2625,"Montipora_capitata_HIv3___RNAseq.g37560.t1"
4871,"Montipora_capitata_HIv3___RNAseq.g37561.t1"
4977,"Montipora_capitata_HIv3___RNAseq.g37562.t1"
15208,"Montipora_capitata_HIv3___RNAseq.g37563.t1"
7262,"Montipora_capitata_HIv3___RNAseq.g37564.t1"
5005,"Montipora_capitata_HIv3___RNAseq.g37565.t1"
6920,"Montipora_capitata_HIv3___RNAseq.g37566.t1"
755,"Montipora_capitata_HIv3___RNAseq.g37567.t1"
928,"Montipora_capitata_HIv3___RNAseq.g37568.t1"
17541,"Montipora_capitata_HIv3___RNAseq.g37569.t1"
4491,"Montipora_capitata_HIv3___RNAseq.g37570.t1"
19439,"Montipora_capitata_HIv3___RNAseq.g37571.t1"
