"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"53","Montipora_capitata_HIv3___Scaffold_9_611209","Montipora_capitata_HIv3___TS.g45646.t2",0.907266193617585,0.00185758549764172,0.0559629965115789,157,-20.38,"2 15","802 825",14,"85.71%","92.86%"
"54","Montipora_capitata_HIv3___Scaffold_11_832609","Montipora_capitata_HIv3___RNAseq.g3955.t1",-0.789650310837105,0.0197519175620505,0.131643797132872,161,-20.73,"2 18","447 469",16,"75.00%","87.50%"
"55","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g30263.t1",-0.727276173027655,0.04090486305745,0.18213445460031,147,-26.25,"2 12","503 521",10,"90.00%","90.00%"
"56","Montipora_capitata_HIv3___Scaffold_2_66515","Montipora_capitata_HIv3___RNAseq.g25318.t1",-0.753622744543898,0.0308204451970343,0.159859995183671,152,-20.22,"2 21","923 946",19,"57.89%","78.95%"
"57","Montipora_capitata_HIv3___Scaffold_8_483169","Montipora_capitata_HIv3___RNAseq.g25318.t1",-0.9234302387709,0.00105884344180788,0.047669041665155,173,-29,"2 22","916 938",20,"80.00%","80.00%"
"58","Montipora_capitata_HIv3___Scaffold_9_599461","Montipora_capitata_HIv3___RNAseq.g42605.t1",0.87596627345348,0.0043376864004398,0.0732663370165063,142,-21.68,"2 21","205 230",22,"54.55%","77.27%"
"59","Montipora_capitata_HIv3___Scaffold_8_503090","Montipora_capitata_HIv3___TS.g6226.t1",0.879586933443321,0.00398007678848918,0.0711755037850076,141,-20.29,"2 12","661 683",10,"90.00%","90.00%"
"60","Montipora_capitata_HIv3___Scaffold_10_638801","Montipora_capitata_HIv3___RNAseq.g49864.t1",0.798526975154464,0.0174802920923754,0.124898635881638,173,-23.53,"2 23","606 632",24,"70.83%","83.33%"
"61","Montipora_capitata_HIv3___Scaffold_2_86747","Montipora_capitata_HIv3___RNAseq.g49864.t1",0.798526975154464,0.0174802920923754,0.124898635881638,173,-23.53,"2 23","606 632",24,"70.83%","83.33%"
"62","Montipora_capitata_HIv3___Scaffold_5_319191","Montipora_capitata_HIv3___RNAseq.g49864.t1",0.798526975154464,0.0174802920923754,0.124898635881638,173,-23.53,"2 23","606 632",24,"70.83%","83.33%"
"63","Montipora_capitata_HIv3___Scaffold_6_415143","Montipora_capitata_HIv3___RNAseq.g49864.t1",0.798526975154464,0.0174802920923754,0.124898635881638,173,-23.53,"2 23","606 632",24,"70.83%","83.33%"
"64","Montipora_capitata_HIv3___Scaffold_8_503090","Montipora_capitata_HIv3___RNAseq.g43850.t1",-0.90972601305908,0.00171692005028452,0.054653495594579,178,-22.03,"2 21","384 406",19,"84.21%","94.74%"
"65","Montipora_capitata_HIv3___Scaffold_9_618173","Montipora_capitata_HIv3___RNAseq.g45295.t1",-0.709802456436771,0.0485712870218725,0.197379692940856,146,-20.79,"2 19","74 94",19,"73.68%","78.95%"
"66","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___RNAseq.g35308.t1",0.956073078048069,0.00020498089173486,0.0332455827647774,163,-20.7,"2 21","880 903",20,"70.00%","85.00%"
"67","Montipora_capitata_HIv3___Scaffold_4_288176","Montipora_capitata_HIv3___RNAseq.g23004.t1",0.877069052514907,0.00422666494494052,0.072611252706486,169,-21.84,"2 22","936 957",20,"80.00%","90.00%"
"68","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___TS.g849.t1",0.735420659795465,0.0376009685651462,0.175162934450936,151,-20.1,"2 21","646 668",20,"65.00%","75.00%"
"69","Montipora_capitata_HIv3___Scaffold_9_599461","Montipora_capitata_HIv3___TS.g45983.t1",0.734715046205723,0.0378805256860644,0.175778834348812,148,-21.32,"2 13","147 169",11,"81.82%","90.91%"
"70","Montipora_capitata_HIv3___Scaffold_10_721713","Montipora_capitata_HIv3___RNAseq.g33559.t1",-0.838601644616572,0.00927958382413803,0.0965103436592172,149,-21.37,"2 14","473 493",12,"75.00%","91.67%"
"71","Montipora_capitata_HIv3___Scaffold_11_817971","Montipora_capitata_HIv3___RNAseq.g33559.t1",-0.838601644616572,0.00927958382413803,0.0965103436592172,149,-21.37,"2 14","473 493",12,"75.00%","91.67%"
"72","Montipora_capitata_HIv3___Scaffold_151_1064446","Montipora_capitata_HIv3___RNAseq.g33559.t1",-0.838601644616572,0.00927958382413803,0.0965103436592172,149,-21.37,"2 14","473 493",12,"75.00%","91.67%"
"73","Montipora_capitata_HIv3___Scaffold_2_97469","Montipora_capitata_HIv3___RNAseq.g47031.t1",0.812714935995533,0.014202470426663,0.114424984547913,151,-20.1,"2 22","446 471",22,"68.18%","72.73%"
"74","Montipora_capitata_HIv3___Scaffold_14_981912","Montipora_capitata_HIv3___TS.g42542.t1",-0.837735602356975,0.00942327734615622,0.0970774641497948,147,-20.96,"2 18","472 498",18,"72.22%","77.78%"
"75","Montipora_capitata_HIv3___Scaffold_9_618173","Montipora_capitata_HIv3___TS.g42542.t1",0.849562314415974,0.00758012336860272,0.0894672632434867,154,-21.57,"2 19","774 791",17,"76.47%","88.24%"
"76","Montipora_capitata_HIv3___Scaffold_8_529775","Montipora_capitata_HIv3___RNAseq.g4805.t1",0.734176349528216,0.0380948017836999,0.176248828153812,155,-22.05,"2 23","774 795",21,"66.67%","76.19%"
"77","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___RNAseq.g2921.t1",-0.792010969830423,0.019130845185517,0.129810617909004,156,-24.51,"2 19","885 905",17,"76.47%","82.35%"
"78","Montipora_capitata_HIv3___Scaffold_6_396712","Montipora_capitata_HIv3___RNAseq.g33355.t1",0.756860022976523,0.0297001462521203,0.157256412055576,148,-22.11,"2 24","860 886",25,"56.00%","76.00%"
"79","Montipora_capitata_HIv3___Scaffold_2_123667","Montipora_capitata_HIv3___RNAseq.g5535.t1b",-0.86047354810064,0.00609984951161835,0.0827412778211663,157,-20.68,"2 20","633 660",21,"71.43%","80.95%"
"80","Montipora_capitata_HIv3___Scaffold_14_1007949","Montipora_capitata_HIv3___TS.g4347.t1",0.756700201689465,0.0297548565252527,0.157388472821176,151,-26.08,"2 12","553 575",10,"90.00%","100.00%"
"81","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g30702.t1a",0.929914674918889,0.00081603498315433,0.044660221551993,155,-20.45,"2 22","869 894",22,"68.18%","77.27%"
"82","Montipora_capitata_HIv3___Scaffold_8_483169","Montipora_capitata_HIv3___RNAseq.g27418.t1",-0.742191496352172,0.0349822894142325,0.169418886237806,143,-20.32,"2 21","840 860",20,"70.00%","70.00%"
"83","Montipora_capitata_HIv3___Scaffold_6_434354","Montipora_capitata_HIv3___RNAseq.g3255.t1",0.750913289678229,0.0317777503275529,0.162090031892342,155,-20.97,"2 22","773 797",22,"63.64%","81.82%"
"84","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g26674.t1",0.91442474775924,0.00146786361427023,0.0522870358728847,167,-21.76,"2 23","940 964",23,"69.57%","86.96%"
"85","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___RNAseq.g1224.t1b",0.723025186555325,0.0426968620312061,0.185792474814963,161,-27.33,"2 20","475 500",22,"77.27%","77.27%"
"86","Montipora_capitata_HIv3___Scaffold_2_66515","Montipora_capitata_HIv3___RNAseq.g43924.t1",0.755525454864301,0.0301589005485605,0.158316740620014,156,-20.63,"2 22","941 966",22,"63.64%","77.27%"
"87","Montipora_capitata_HIv3___Scaffold_2_66515","Montipora_capitata_HIv3___RNAseq.g24792.t2",0.769891538188315,0.0254455618557717,0.146870275829758,159,-21.13,"2 22","744 769",22,"68.18%","81.82%"
"88","Montipora_capitata_HIv3___Scaffold_13_939196","Montipora_capitata_HIv3___TS.g12261.t1",-0.754159342784292,0.0306329843162226,0.159457122374645,152,-20.5,"2 13","270 291",11,"90.91%","90.91%"
"89","Montipora_capitata_HIv3___Scaffold_10_624116","Montipora_capitata_HIv3___RNAseq.g40919.t1",-0.827870940675971,0.0111604851607489,0.103841503210617,143,-20.64,"2 12","899 917",10,"80.00%","90.00%"
"90","Montipora_capitata_HIv3___Scaffold_8_558953","Montipora_capitata_HIv3___TS.g28885.t1",0.844128761213937,0.00839527125787233,0.0929423719951345,155,-23.98,"2 21","43 62",20,"75.00%","80.00%"
"91","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___RNAseq.g37678.t1",0.825337182743132,0.011637067489307,0.105574789910891,171,-21.18,"2 21","942 966",21,"71.43%","90.48%"
"92","Montipora_capitata_HIv3___Scaffold_8_571913","Montipora_capitata_HIv3___TS.g48744.t1",0.84118276911807,0.00885960622058642,0.0948772010038375,155,-20.92,"2 19","274 295",17,"76.47%","82.35%"
"93","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g41624.t1",-0.735418045469864,0.0376020020068181,0.175166275371566,162,-21.92,"2 23","511 534",21,"57.14%","85.71%"
"94","Montipora_capitata_HIv3___Scaffold_9_617400","Montipora_capitata_HIv3___RNAseq.g35464.t1",-0.927298207374332,0.000909052210181499,0.045946209765379,164,-24.66,"2 22","150 175",22,"68.18%","81.82%"
"95","Montipora_capitata_HIv3___Scaffold_8_483169","Montipora_capitata_HIv3___RNAseq.g4335.t3",-0.901553332325735,0.00221264934341623,0.0589596265985603,145,-20.15,"2 10","497 519",8,"100.00%","100.00%"
"96","Montipora_capitata_HIv3___Scaffold_9_599461","Montipora_capitata_HIv3___RNAseq.g5268.t1",0.865038192676889,0.00554043190978175,0.079755550316207,155,-22.35,"2 22","337 358",20,"65.00%","80.00%"
"97","Montipora_capitata_HIv3___Scaffold_6_434354","Montipora_capitata_HIv3___RNAseq.g32484.t1",0.927331475273512,0.000907828091650843,0.0459174609863674,151,-22.93,"2 22","710 731",20,"70.00%","70.00%"
"98","Montipora_capitata_HIv3___Scaffold_9_599461","Montipora_capitata_HIv3___RNAseq.g36447.t1",0.758439331212306,0.0291628414358273,0.155937397824202,148,-24.82,"2 22","182 208",24,"54.17%","75.00%"
"99","Montipora_capitata_HIv3___Scaffold_9_617400","Montipora_capitata_HIv3___RNAseq.g19863.t4",0.850098140517771,0.00750259614319993,0.0891436604553302,140,-21.5,"2 9","849 872",7,"100.00%","100.00%"
"100","Montipora_capitata_HIv3___Scaffold_3_148198","Montipora_capitata_HIv3___RNAseq.g19162.t1",0.807974763063492,0.0152502278449857,0.117876975876972,158,-20.75,"2 22","908 928",20,"70.00%","80.00%"
"101","Montipora_capitata_HIv3___Scaffold_14_1001044","Montipora_capitata_HIv3___TS.g50663.t1",-0.772136004859039,0.0247534460385291,0.145101740219855,180,-28.91,"2 17","601 618",15,"100.00%","100.00%"
"102","Montipora_capitata_HIv3___Scaffold_14_1001054","Montipora_capitata_HIv3___TS.g50663.t1",-0.772136004859039,0.0247534460385291,0.145101740219855,180,-28.91,"2 17","601 618",15,"100.00%","100.00%"
"103","Montipora_capitata_HIv3___Scaffold_10_659884","Montipora_capitata_HIv3___RNAseq.g9563.t1",0.769762352831962,0.0254857580682397,0.146962912983859,145,-23.44,"2 23","162 186",22,"59.09%","68.18%"
"104","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g242.t2",0.949482246324347,0.000310220400429245,0.035699189749641,154,-20.16,"2 23","391 412",21,"66.67%","80.95%"
"105","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___RNAseq.g45310.t1",-0.747702803410291,0.0329354292342133,0.164737830581255,142,-20.86,"2 11","324 347",9,"77.78%","100.00%"
"106","Montipora_capitata_HIv3___Scaffold_14_984317","Montipora_capitata_HIv3___RNAseq.g27787.t1",-0.875566879221135,0.00437835299737723,0.0735264338985681,166,-21.65,"2 20","62 84",19,"78.95%","84.21%"
"107","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___TS.g30538.t1",0.834849675486201,0.00991228327180576,0.0990357505990437,158,-21.71,"2 17","904 926",15,"80.00%","93.33%"
"108","Montipora_capitata_HIv3___Scaffold_2_95308","Montipora_capitata_HIv3___RNAseq.g7144.t1",0.903756477831583,0.0020709370777934,0.0578093438652181,174,-21.94,"2 19","266 287",17,"82.35%","94.12%"
"109","Montipora_capitata_HIv3___Scaffold_14_984317","Montipora_capitata_HIv3___TS.g33778.t1d",0.895720595887501,0.00261779509018787,0.0620819277596035,158,-20.63,"2 21","328 353",23,"65.22%","82.61%"
"110","Montipora_capitata_HIv3___Scaffold_2_97469","Montipora_capitata_HIv3___RNAseq.g35629.t1",0.93437329282592,0.000672290332032925,0.0425113177870772,161,-22.36,"2 23","58 84",24,"62.50%","79.17%"
"111","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___RNAseq.g38928.t1",-0.761269855808152,0.0282149191753278,0.153675315036832,147,-23.51,"2 12","783 806",10,"90.00%","90.00%"
"112","Montipora_capitata_HIv3___Scaffold_2_95308","Montipora_capitata_HIv3___RNAseq.14688_t",0.947460029118506,0.000348447206507048,0.0366814748590629,166,-23.89,"2 20","544 567",20,"75.00%","85.00%"
"113","Montipora_capitata_HIv3___Scaffold_8_558953","Montipora_capitata_HIv3___RNAseq.14688_t",0.947959149071401,0.000338739834716522,0.0364034132574373,166,-22.4,"2 20","544 567",20,"75.00%","85.00%"
"114","Montipora_capitata_HIv3___Scaffold_8_571913","Montipora_capitata_HIv3___TS.g47328.t1",0.835662581936346,0.00977295016725806,0.0984906099338733,172,-24.62,"2 22","328 355",24,"75.00%","79.17%"
"115","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___RNAseq.g16906.t1",0.868542832805307,0.00513405950166287,0.0775247761820279,156,-20.65,"2 20","69 91",19,"78.95%","78.95%"
"116","Montipora_capitata_HIv3___Scaffold_2_63883","Montipora_capitata_HIv3___RNAseq.g23447.t1",0.737302682422821,0.0368614920928265,0.173532379603665,148,-22.68,"2 22","867 892",22,"59.09%","72.73%"
"117","Montipora_capitata_HIv3___Scaffold_2_95308","Montipora_capitata_HIv3___RNAseq.g46322.t1",0.715987078429887,0.0457667316470912,0.191899706683922,161,-20.57,"2 18","127 148",16,"75.00%","87.50%"
"118","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___RNAseq.g46322.t1",0.724480043168536,0.0420783216205492,0.184531509575845,161,-22.07,"2 21","150 172",20,"75.00%","85.00%"
"119","Montipora_capitata_HIv3___Scaffold_8_536899","Montipora_capitata_HIv3___TS.g49731.t1",0.82835218324574,0.0110713879291896,0.103499935937261,163,-20.19,"2 22","209 230",20,"75.00%","80.00%"
"120","Montipora_capitata_HIv3___Scaffold_3_148198","Montipora_capitata_HIv3___RNAseq.g27663.t1",-0.711088864326422,0.0479796451021604,0.196235272171063,171,-24.04,"2 20","767 789",18,"77.78%","88.89%"
"121","Montipora_capitata_HIv3___Scaffold_7_451889","Montipora_capitata_HIv3___RNAseq.g47681.t1",0.976677964404401,3.1161025167928e-05,0.0256181937378081,169,-20.99,"2 22","463 486",20,"70.00%","85.00%"
"122","Montipora_capitata_HIv3___Scaffold_2_123667","Montipora_capitata_HIv3___RNAseq.40944_t",-0.807930856388662,0.0152601526485008,0.117907793137539,155,-20.62,"2 24","320 344",22,"50.00%","81.82%"
"123","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___RNAseq.g45413.t1",-0.937440894525249,0.000583725519904395,0.0411624967496475,154,-22.72,"2 15","244 267",13,"84.62%","84.62%"
"124","Montipora_capitata_HIv3___Scaffold_5_303930","Montipora_capitata_HIv3___RNAseq.g18318.t1",-0.71658759847113,0.0454997593057562,0.191366465828866,152,-20.57,"2 13","156 178",11,"81.82%","100.00%"
"125","Montipora_capitata_HIv3___Scaffold_9_606515","Montipora_capitata_HIv3___RNAseq.g29658.t1",0.877247464638429,0.00420887726129442,0.072486292209581,160,-22.7,"2 21","631 654",19,"73.68%","73.68%"
