sample_name	library_ID	title	library_strategy (click for details)	library_source (click for details)	library_selection (click for details)	library_layout	platform (click for details)	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
26_miRNA_Zymo_libraries	26_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 26_9phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	26_small_RNA_S8_R1_001.fastq.gz	26_small_RNA_S8_R2_001.fastq.gz				
28_miRNA_Zymo_libraries	28_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 28_9phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	28_small_RNA_S9_R1_001.fastq.gz	28_small_RNA_S9_R2_001.fastq.gz				
35_miRNA_Zymo_libraries	35_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 35_14phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	35_S78_R1_001.fastq.gz	35_S78_R2_001.fastq.gz				
36_miRNA_Zymo_libraries	36_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 36_14phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	36_small_RNA_S10_R1_001.fastq.gz	36_small_RNA_S10_R2_001.fastq.gz				
37_miRNA_Zymo_libraries	37_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 37_14phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	37_small_RNA_S11_R1_001.fastq.gz	37_small_RNA_S11_R2_001.fastq.gz				
39_miRNA_Zymo_libraries	39_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 39_14phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	39_small_RNA_S12_R1_001.fastq.gz	39_small_RNA_S12_R2_001.fastq.gz				
52_miRNA_Zymo_libraries	52_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 52_22phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	52_S79_R1_001.fastq.gz	52_S79_R2_001.fastq.gz				
47_miRNA_Zymo_libraries	47_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 47_22phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	47_small_RNA_S13_R1_001.fastq.gz 	47_small_RNA_S13_R2_001.fastq.gz 				
48_miRNA_Zymo_libraries	48_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 48_22phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	48_small_RNA_S14_R1_001.fastq.gz 	48_small_RNA_S14_R2_001.fastq.gz 				
51_miRNA_Zymo_libraries	51_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 51_22phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	51_small_RNA_S15_R1_001.fastq.gz  	51_small_RNA_S15_R2_001.fastq.gz  				
60_miRNA_Zymo_libraries	60_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 60_28phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	60_S80_R1_001.fastq.gz	60_S80_R2_001.fastq.gz				
61_miRNA_Zymo_libraries	61_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 61_28phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	61_small_RNA_S16_R1_001.fastq.gz	61_small_RNA_S16_R2_001.fastq.gz				
62_miRNA_Zymo_libraries	62_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 62_28phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	62_small_RNA_S17_R1_001.fastq.gz	62_small_RNA_S17_R2_001.fastq.gz				
63_miRNA_Zymo_libraries	63_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 63_28phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	63_small_RNA_S18_R1_001.fastq.gz	63_small_RNA_S18_R2_001.fastq.gz				
72_miRNA_Zymo_libraries	72_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 72_48phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	72_S81_R1_001.fastq.gz	72_S81_R2_001.fastq.gz				
73_miRNA_Zymo_libraries	73_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 73_48phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	73_small_RNA_S19_R1_001.fastq.gz	73_small_RNA_S19_R2_001.fastq.gz				
74_miRNA_Zymo_libraries	74_miRNA_Zymo_libraries	smRNA-seq (Zymo libraries) of Montipora capitata: 74_48phf	miRNA-Seq	TRANSCRIPTOMIC	size fractionation	paired	ILLUMINA	Illumina NovaSeq X Plus	150-190 ng of total RNA was used as input for miRNA library prep using the Zymo-Seq miRNA Library Kit (R3006) with 22 cycles of index PCR amplification (95°C for 30 seconds, 62°C for 30 seconds, 72°C for 30 seconds). Small RNA-sequencing was performed on an Illumina NovaSeq X Plus in a 2x150 bp configuration at the Oklahoma Medical Research Foundation NGS Core. miRNA library prep on the majority of samples (n=3 per time point) failed to generate adequate libraries, leaving us with n=1 for miRNA sequencing. We suspect that the Zymo-Seq miRNA Library Kit (R3006) was insufficient and did not perform sequence amplification properly. Notably, this kit is no longer available for purchase on the Zymo website (https://www.zymoresearch.com/pages/ngs-library-prep-kits; accessed on 3/5/25), suggesting significant issues with its reliability. 	fastq	74_small_RNA_S20_R1_001.fastq.gz 	74_small_RNA_S20_R2_001.fastq.gz 				
