sample_name	library_ID	title	library_strategy (click for details)	library_source (click for details)	library_selection (click for details)	library_layout	platform (click for details)	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
26	26	RNA-seq of Montipora capitata: 26_9phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	26_RNAseq_S32_R1_001.fastq.gz 	26_RNAseq_S32_R2_001.fastq.gz 				
28	28	RNA-seq of Montipora capitata: 28_9phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	28_RNAseq_S33_R1_001.fastq.gz	28_RNAseq_S33_R2_001.fastq.gz				
35	35	RNA-seq of Montipora capitata: 35_14phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	35_S33_R1_001.fastq.gz 	35_S33_R2_001.fastq.gz 				
36	36	RNA-seq of Montipora capitata: 36_14phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	36_RNAseq_S34_R1_001.fastq.gz 	36_RNAseq_S34_R2_001.fastq.gz 				
37	37	RNA-seq of Montipora capitata: 37_14phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	37_RNAseq_S35_R1_001.fastq.gz	37_RNAseq_S35_R2_001.fastq.gz				
39	39	RNA-seq of Montipora capitata: 39_14phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	39_RNAseq_S36_R1_001.fastq.gz 	39_RNAseq_S36_R2_001.fastq.gz 				
52	52	RNA-seq of Montipora capitata: 52_22phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	52_S34_R1_001.fastq.gz 	52_S34_R2_001.fastq.gz 				
47	47	RNA-seq of Montipora capitata: 47_22phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	47_RNAseq_S37_R1_001.fastq.gz 	47_RNAseq_S37_R2_001.fastq.gz 				
48	48	RNA-seq of Montipora capitata: 48_22phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	48_RNAseq_S38_R1_001.fastq.gz 	48_RNAseq_S38_R2_001.fastq.gz 				
51	51	RNA-seq of Montipora capitata: 51_22phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	51_RNAseq_S39_R1_001.fastq.gz 	51_RNAseq_S39_R2_001.fastq.gz 				
60	60	RNA-seq of Montipora capitata: 60_28phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	60_S35_R1_001.fastq.gz 	60_S35_R2_001.fastq.gz 				
61	61	RNA-seq of Montipora capitata: 61_28phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	61_RNAseq_S40_R1_001.fastq.gz  	61_RNAseq_S40_R2_001.fastq.gz  				
62	62	RNA-seq of Montipora capitata: 62_28phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	62_RNAseq_S41_R1_001.fastq.gz 	62_RNAseq_S41_R2_001.fastq.gz 				
63	63	RNA-seq of Montipora capitata: 63_28phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	63_RNAseq_S42_R1_001.fastq.gz 	63_RNAseq_S42_R2_001.fastq.gz 				
72	72	RNA-seq of Montipora capitata: 72_48phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	72_S36_R1_001.fastq.gz 	72_S36_R2_001.fastq.gz 				
73	73	RNA-seq of Montipora capitata: 73_48phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	73_RNAseq_S43_R1_001.fastq.gz 	73_RNAseq_S43_R2_001.fastq.gz 				
74	74	RNA-seq of Montipora capitata: 74_48phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	74_RNAseq_S44_R1_001.fastq.gz 	74_RNAseq_S44_R2_001.fastq.gz 				
75	75	RNA-seq of Montipora capitata: 75_48phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	75_RNAseq_S45_R1_001.fastq.gz 	75_RNAseq_S45_R2_001.fastq.gz 				
85	85	RNA-seq of Montipora capitata: 85_72phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.	fastq	85_S37_R1_001.fastq.gz	85_S37_R2_001.fastq.gz				
86	86	RNA-seq of Montipora capitata: 86_72phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.		86_RNAseq_S46_R1_001.fastq.gz	86_RNAseq_S46_R2_001.fastq.gz				
87	87	RNA-seq of Montipora capitata: 87_72phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.		87_RNAseq_S47_R1_001.fastq.gz	87_RNAseq_S47_R2_001.fastq.gz				
88	88	RNA-seq of Montipora capitata: 88_72phf	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	paired	ILLUMINA	Illumina NovaSeq X	Using 150-190 ng of total RNA, rRNA-depleted RNA-Seq libraries were prepared using the Zymo-Seq RiboFree Total RNA Library Kit (R3000) with 15 cycles of library amplification (98°C for 20 seconds, 60°C for 30 seconds, 72°C for 30 seconds). Library concentration and size was determined with an Agilent Tapestation 4200. The libraries were sequenced at the Oklahoma Medical Research Foundation NGS Core on an Illumina NovaSeq X Plus in a 2x150 bp configuration.		88_RNAseq_S48_R1_001.fastq.gz	88_RNAseq_S48_R2_001.fastq.gz				
